categorie,food,latent,portie_g,kcal,vrije_suiker_g,zout_g,verzadigd_vet_g,ul_vlaggen
dranken,Water,0.0,250,0,0.0,0.0,0.0,
dranken,Zwarte koffie,-2.62,125,2,0.0,0.01,0.0,
dranken,Light cola,-22.35,330,1,0.0,0.08,0.0,
dranken,Sinaasappelsap,-24.94,200,90,16.8,0.01,0.0,
dranken,Bouillon bereid,-37.55,250,10,0.0,2.38,0.0,
dranken,Cola,-54.36,330,139,35.0,0.03,0.0,
granen,Bruine rijst laag-arseen,-6.68,150,184,0.0,0.01,0.3,
granen,Bruine rijst hoog-arseen,-17.33,150,184,0.0,0.01,0.3,
granen,Witte rijst laag-arseen,-18.85,150,195,0.0,0.0,0.2,
groente_fruit,Nori zeewier,20.62,3,1,0.0,0.0,0.0,
groente_fruit,Kropsla,17.03,40,6,0.0,0.03,0.0,
groente_fruit,Komkommer,8.9,80,12,0.0,0.0,0.0,
groente_fruit,"Appel heel, lokaal",7.57,130,68,0.0,0.0,0.0,
groente_fruit,Appelmoes ongezoet,-26.22,125,78,3.8,0.01,0.0,
hartige_snacks,Chips,-8.49,30,161,0.1,0.39,0.9,
hartige_snacks,Proteinereep,-19.64,60,228,7.2,0.38,3.0,
peulvruchten_noten,Walnoten,16.35,25,164,0.0,0.0,1.5,
peulvruchten_noten,Linzen gekookt,11.1,150,174,0.0,0.01,0.2,
samengestelde_maaltijden,Happy Meal-achtig,-31.98,400,920,22.0,3.2,12.0,
supplementen,Spirulinapoeder,-0.18,5,14,0.2,0.13,0.1,
vetten,Extra vierge olijfolie,13.27,12,106,0.0,0.0,1.7,
vetten,Boter,-2.96,10,72,0.0,0.0,5.1,
vis_vlees_ei,Runderlever gebakken,9.0,80,108,0.0,0.14,1.1,vit_a_ug=132% van bovengrens
vis_vlees_ei,Gekookt lokaal ei,3.21,55,85,0.0,0.17,1.8,
vis_vlees_ei,Sardines in blik,-0.99,90,187,0.0,0.69,1.4,
zoetmakers,Witte tafelsuiker,-23.37,5,19,5.0,0.0,0.0,
zoetmakers,Honing,-27.16,20,61,16.4,0.0,0.0,
zoetwaren,85% pure chocolade,-8.74,25,148,3.5,0.01,6.1,
zuivel,Magere yoghurt naturel,-1.7,150,84,0.0,0.19,0.2,
